timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:42:15.585,0,warehousee2_test@localhost,warehouse,B,lock,3,38,35
2025-11-19 23:42:15.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,3,41,44
2025-11-19 23:42:20.590,0,warehousee1_test@localhost,warehouse,C,lock,7,54,47
2025-11-19 23:42:20.590,0,warehousee2_test@localhost,warehouse,C,lock,7,39,32
2025-11-19 23:42:20.591,0,warehousee1_test@localhost,warehouse,A,lock,8,44,36
2025-11-19 23:42:20.591,0,warehousee2_test@localhost,warehouse,A,lock,8,80,72
2025-11-19 23:42:20.597,0,warehousee1_test@localhost,warehouse,C,unlock_denied,7,47,54
2025-11-19 23:42:20.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,8,36,44
2025-11-19 23:42:30.581,0,warehousee1_test@localhost,warehouse,D,lock,3,20,17
2025-11-19 23:42:30.582,0,warehousee2_test@localhost,warehouse,D,lock,3,49,46
2025-11-19 23:42:30.582,0,warehousee1_test@localhost,warehouse,D,lock,5,17,12
2025-11-19 23:42:30.583,0,warehousee2_test@localhost,warehouse,D,lock,5,46,41
2025-11-19 23:42:30.589,0,warehousee1_test@localhost,warehouse,D,unlock_denied,3,12,15
2025-11-19 23:42:30.589,0,warehousee1_test@localhost,warehouse,D,unlock_denied,5,15,20
2025-11-19 23:42:35.587,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:42:35.587,0,warehousee2_test@localhost,warehouse,C,lock,19,32,13
2025-11-19 23:42:35.588,0,warehousee1_test@localhost,warehouse,D,lock,2,20,18
2025-11-19 23:42:35.588,0,warehousee2_test@localhost,warehouse,D,lock,2,41,39
2025-11-19 23:42:35.594,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:42:35.594,0,warehousee1_test@localhost,warehouse,D,unlock_denied,2,18,20
2025-11-19 23:42:40.575,0,warehousee1_test@localhost,warehouse,D,lock,2,20,18
2025-11-19 23:42:40.576,0,warehousee2_test@localhost,warehouse,D,lock,2,39,37
2025-11-19 23:42:40.580,0,warehousee1_test@localhost,warehouse,D,unlock_denied,2,18,20
2025-11-19 23:42:45.576,0,warehousee1_test@localhost,warehouse,D,lock,14,20,6
2025-11-19 23:42:45.577,0,warehousee2_test@localhost,warehouse,D,lock,14,37,23
2025-11-19 23:42:45.580,0,warehousee1_test@localhost,warehouse,D,unlock_denied,14,6,20
2025-11-19 23:42:50.578,0,warehousee1_test@localhost,warehouse,A,lock,8,44,36
2025-11-19 23:42:50.579,0,warehousee2_test@localhost,warehouse,A,lock,8,72,64
2025-11-19 23:42:50.582,0,warehousee1_test@localhost,warehouse,A,unlock_denied,8,36,44
2025-11-19 23:42:55.579,0,warehousee1_test@localhost,warehouse,C,lock,20,54,34
2025-11-19 23:42:55.579,0,warehousee2_test@localhost,warehouse,C,lock,20,80,60
2025-11-19 23:42:55.583,0,warehousee1_test@localhost,warehouse,C,unlock_denied,20,34,54
2025-11-19 23:43:00.580,0,warehousee1_test@localhost,warehouse,B,lock,4,44,40
2025-11-19 23:43:00.580,0,warehousee2_test@localhost,warehouse,B,lock,4,35,31
2025-11-19 23:43:00.581,0,warehousee1_test@localhost,warehouse,B,lock,16,40,24
2025-11-19 23:43:00.582,0,warehousee2_test@localhost,warehouse,B,lock,16,31,15
2025-11-19 23:43:00.588,0,warehousee1_test@localhost,warehouse,B,unlock_denied,16,24,40
2025-11-19 23:43:00.588,0,warehousee1_test@localhost,warehouse,B,unlock_denied,4,40,44
2025-11-19 23:43:05.593,0,warehousee1_test@localhost,warehouse,B,lock,5,44,39
2025-11-19 23:43:05.593,0,warehousee2_test@localhost,warehouse,B,lock,5,80,75
2025-11-19 23:43:05.597,0,warehousee1_test@localhost,warehouse,B,unlock_denied,5,39,44
2025-11-19 23:43:11.681,78.124,storee1_test@localhost,store,D,delivery,14,7,21
2025-11-19 23:43:11.682,78.124,storee1_test@localhost,store,C,delivery,17,0,17
2025-11-19 23:43:15.589,0,warehousee1_test@localhost,warehouse,D,lock,16,20,4
2025-11-19 23:43:15.590,0,warehousee2_test@localhost,warehouse,D,lock,16,23,7
2025-11-19 23:43:15.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,16,4,20
2025-11-19 23:43:20.585,0,warehousee1_test@localhost,warehouse,D,lock,8,20,12
2025-11-19 23:43:20.586,0,warehousee2_test@localhost,warehouse,D,lock,8,80,72
2025-11-19 23:43:20.586,0,warehousee1_test@localhost,warehouse,B,lock,3,44,41
2025-11-19 23:43:20.587,0,warehousee2_test@localhost,warehouse,B,lock,3,75,72
2025-11-19 23:43:20.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,8,12,20
2025-11-19 23:43:20.593,0,warehousee1_test@localhost,warehouse,B,unlock_denied,3,41,44
2025-11-19 23:43:25.590,0,warehousee1_test@localhost,warehouse,C,lock,10,54,44
2025-11-19 23:43:25.590,0,warehousee2_test@localhost,warehouse,C,lock,10,60,50
2025-11-19 23:43:25.591,0,warehousee1_test@localhost,warehouse,C,lock,18,44,26
