timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:21:18.024,,warehousee1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 102000004, ""product"": ""A"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:18.024,,warehousee1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 102000004, ""product"": ""A"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:18.024,,warehousee1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000004, ""product"": ""A"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:18.031,,vehiclee1@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000004, ""can_fit"": true, ""delivery_time"": 23.855, ""vehicle_id"": ""vehiclee1@localhost""...",
2025-11-19 22:21:18.037,,vehiclee2@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000004, ""can_fit"": false, ""delivery_time"": 34.152, ""vehicle_id"": ""vehiclee2@localhost...",
2025-11-19 22:21:18.041,,vehiclee3@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000004, ""can_fit"": false, ""delivery_time"": 17.977, ""vehicle_id"": ""vehiclee3@localhost...",
2025-11-19 22:21:19.025,,warehousee1_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 102000004, ""confirmed"": true}",
2025-11-19 22:21:19.025,,warehousee1_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 102000004, ""confirmed"": false}",
2025-11-19 22:21:19.026,,warehousee1_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000004, ""confirmed"": false}",
2025-11-19 22:21:19.253,,event_agent@localhost,vehiclee1@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.018, ""vehicles"": [""vehiclee2""]}",
2025-11-19 22:21:19.253,,event_agent@localhost,vehiclee2@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.018, ""vehicles"": [""vehiclee2""]}",
2025-11-19 22:21:19.253,,event_agent@localhost,vehiclee3@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.018, ""vehicles"": [""vehiclee2""]}",
2025-11-19 22:21:19.253,,event_agent@localhost,storee1_test@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.018, ""vehicles"": [""vehiclee2""]}",
2025-11-19 22:21:19.254,,event_agent@localhost,storee2_test@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.018, ""vehicles"": [""vehiclee2""]}",
2025-11-19 22:21:19.256,,vehiclee1@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee1@localhost"", ""current_location"": 7, ""next_node"": 2, ""tim...",
2025-11-19 22:21:19.256,,vehiclee2@localhost,supplier3@localhost,Notify,vehicle-pickup,"{""product"": ""D"", ""quantity"": 72, ""orderid"": ""201000000"", ""sender"": ""supplierr1_test@localhost"", ""rec...",
2025-11-19 22:21:19.257,,vehiclee2@localhost,supplierr1_test@localhost,Notify,vehicle-pickup,"{""orderid"": ""201000000"", ""vehicle_id"": ""vehiclee2@localhost"", ""status"": ""started"", ""location"": 3}",
2025-11-19 22:21:19.257,,vehiclee2@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee2@localhost"", ""current_location"": 3, ""next_node"": 7, ""tim...",
2025-11-19 22:21:19.259,,vehiclee3@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee3@localhost"", ""current_location"": 6, ""next_node"": 11, ""ti...",
2025-11-19 22:21:23.018,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,20 C,
2025-11-19 22:21:23.018,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,20 C,
2025-11-19 22:21:23.019,,storee1_test@localhost,warehousee1_test@localhost,Notify,store-buy,10 A,
2025-11-19 22:21:23.019,,storee1_test@localhost,warehousee2_test@localhost,Notify,store-buy,10 A,
2025-11-19 22:21:23.020,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 C,
2025-11-19 22:21:23.020,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,20 C,
2025-11-19 22:21:23.020,,warehousee1_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,10 A,
2025-11-19 22:21:23.021,,warehousee2_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,10 A,
2025-11-19 22:21:23.023,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,20 C,
2025-11-19 22:21:23.024,,storee1_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,10 A,
2025-11-19 22:21:23.024,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,20 C,
2025-11-19 22:21:23.025,,storee1_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,10 A,
2025-11-19 22:21:23.025,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:21:23.025,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:21:23.026,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.026,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.027,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:21:23.027,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:21:23.027,,vehiclee2@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.028,,vehiclee2@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.028,,warehousee1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:21:23.028,,warehousee1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:21:23.029,,vehiclee3@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.029,,vehiclee3@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:21:23.029,,warehousee1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 102000005, ""product"": ""C"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.030,,warehousee1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 102000005, ""product"": ""C"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.030,,warehousee1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 102000005, ""product"": ""C"", ""quantity"": 20, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.030,,warehousee1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 101000006, ""product"": ""A"", ""quantity"": 10, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.031,,warehousee1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 101000006, ""product"": ""A"", ""quantity"": 10, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.031,,warehousee1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 101000006, ""product"": ""A"", ""quantity"": 10, ""sender"": ""warehousee1_test@localhost"", ""rece...",
2025-11-19 22:21:23.037,,vehiclee1@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000005, ""can_fit"": true, ""delivery_time"": 17.927, ""vehicle_id"": ""vehiclee1@localhost""...",
2025-11-19 22:21:23.042,,vehiclee2@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000005, ""can_fit"": false, ""delivery_time"": 34.152, ""vehicle_id"": ""vehiclee2@localhost...",
2025-11-19 22:21:23.045,,vehiclee3@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 102000005, ""can_fit"": false, ""delivery_time"": 17.977, ""vehicle_id"": ""vehiclee3@localhost...",
2025-11-19 22:21:23.048,,vehiclee1@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000006, ""can_fit"": true, ""delivery_time"": 3.745, ""vehicle_id"": ""vehiclee1@localhost""}",
2025-11-19 22:21:23.053,,vehiclee2@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000006, ""can_fit"": false, ""delivery_time"": 33.062, ""vehicle_id"": ""vehiclee2@localhost...",
2025-11-19 22:21:23.057,,vehiclee3@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000006, ""can_fit"": false, ""delivery_time"": 16.887, ""vehicle_id"": ""vehiclee3@localhost...",
2025-11-19 22:21:24.023,,warehousee1_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 101000006, ""confirmed"": true}",
2025-11-19 22:21:24.024,,warehousee1_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 101000006, ""confirmed"": false}",
2025-11-19 22:21:24.024,,warehousee1_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 101000006, ""confirmed"": false}",
2025-11-19 22:21:24.024,,warehousee1_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 102000005, ""confirmed"": true}",
2025-11-19 22:21:24.025,,warehousee1_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 102000005, ""confirmed"": false}",
2025-11-19 22:21:24.025,,warehousee1_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 102000005, ""confirmed"": false}",
2025-11-19 22:21:26.430,,warehousee1_test@localhost,supplierr1_test@localhost,Request,warehouse-buy,72 C,
2025-11-19 22:21:26.431,,warehousee1_test@localhost,supplierr2_test@localhost,Request,warehouse-buy,72 C,
2025-11-19 22:21:26.432,,supplierr1_test@localhost,warehousee1_test@localhost,Confirmation,supplier-accept,72 C,
2025-11-19 22:21:26.432,,supplierr2_test@localhost,warehousee1_test@localhost,Confirmation,supplier-accept,72 C,
2025-11-19 22:21:26.433,,warehousee1_test@localhost,supplierr1_test@localhost,Confirmation,warehouse-confirm,72 C,
2025-11-19 22:21:26.434,,warehousee1_test@localhost,supplierr2_test@localhost,Confirmation,warehouse-deny,72 C,
