timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 22:34:36.911,,vehiclee3@localhost,astar,2,2.037,5,13.46,0,"[19, 13, 9, 13, 9]"
2025-11-19 22:34:37.897,,vehiclee1@localhost,astar,3,1.532,7,20.091,0,"[9, 13, 9, 13, 9, 13, 9]"
2025-11-19 22:34:41.919,,order_101000008,astar,1,1.523,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.922,,order_101000008,astar,1,1.016,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.924,,vehiclee2@localhost,astar,2,2.037,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:41.926,,order_101000008,astar,1,1.024,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.928,,vehiclee3@localhost,astar,2,2.03,5,13.46,0,"[19, 13, 9, 13, 9]"
2025-11-19 22:34:42.900,,vehiclee1@localhost,astar,4,2.558,9,13.394,0,"[9, 13, 13, 9, 9, 13, 13, 9, 9]"
2025-11-19 22:34:46.898,,order_102000004,astar,1,1.014,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.903,,vehiclee1@localhost,astar,1,1.04,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:34:46.905,,order_102000004,astar,1,1.02,3,10.607,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.908,,vehiclee2@localhost,astar,2,2.034,5,11.923,0,"[13, 13, 19, 13, 9]"
2025-11-19 22:34:46.910,,order_102000004,astar,1,1.015,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.913,,vehiclee3@localhost,astar,2,3.06,5,12.607,0,"[19, 13, 13, 9, 19]"
2025-11-19 22:34:51.907,,order_101000009,astar,1,1.028,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:51.911,,order_101000009,astar,1,1.023,3,4.557,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:51.913,,vehiclee2@localhost,astar,2,2.061,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:51.915,,order_101000009,astar,1,1.014,3,4.627,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:51.918,,vehiclee3@localhost,astar,3,2.545,7,22.68,0,"[19, 13, 9, 13, 19, 13, 9]"
2025-11-19 22:34:52.901,,vehiclee1@localhost,astar,5,2.538,11,16.097,0,"[13, 13, 13, 9, 9, 13, 13, 9, 9, 13, 9]"
2025-11-19 22:34:56.908,,order_101000010,astar,1,1.016,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:56.911,,order_101000010,astar,1,1.014,3,4.557,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:56.913,,vehiclee2@localhost,astar,2,1.539,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:56.916,,order_101000010,astar,1,1.524,3,4.627,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:56.918,,vehiclee3@localhost,astar,3,2.544,7,22.68,0,"[19, 13, 9, 13, 19, 13, 9]"
2025-11-19 22:34:56.921,,order_102000005,astar,1,1.54,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:56.927,,vehiclee1@localhost,astar,1,1.02,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:34:56.930,,order_102000005,astar,1,1.013,3,7.014,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:56.932,,vehiclee2@localhost,astar,2,2.031,5,11.857,0,"[13, 13, 9, 13, 19]"
2025-11-19 22:34:56.934,,order_102000005,astar,1,1.014,3,7.084,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:56.937,,vehiclee3@localhost,astar,3,3.073,7,25.137,0,"[19, 13, 9, 13, 19, 13, 19]"
2025-11-19 22:34:57.899,,vehiclee1@localhost,astar,6,2.542,13,16.097,0,"[13, 13, 13, 9, 9, 13, 13, 9, 9, 13, 13, 9, 9]"
2025-11-19 22:34:59.957,,order_202000002,astar,1,1.524,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:59.958,,vehiclee1@localhost,astar,1,1.018,3,12.744,0,"[9, 22, 13]"
2025-11-19 22:34:59.960,,order_202000002,astar,1,1.024,4,9.543,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:59.965,,vehiclee2@localhost,astar,3,4.597,7,22.526,0,"[13, 13, 9, 13, 19, 22, 13]"
2025-11-19 22:34:59.967,,order_202000002,astar,1,1.015,4,9.178,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:59.972,,vehiclee3@localhost,astar,3,4.585,7,26.586,0,"[19, 13, 9, 13, 19, 22, 13]"
2025-11-19 22:35:06.911,,order_101000011,astar,1,1.015,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:06.915,,order_101000011,astar,1,1.015,3,4.557,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:06.918,,vehiclee2@localhost,astar,3,3.089,7,18.62,0,"[13, 13, 19, 13, 9, 13, 9]"
2025-11-19 22:35:06.920,,order_101000011,astar,1,1.022,3,4.627,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:06.923,,vehiclee3@localhost,astar,3,2.55,7,22.68,0,"[19, 13, 19, 13, 9, 13, 9]"
2025-11-19 22:35:07.895,,vehiclee1@localhost,astar,7,1.529,15,2.703,0,"[13, 13, 13, 13, 13, 13, 13, 13, 9, 9, 9, 9, 9, 9, 9]"
2025-11-19 22:35:08.174,,vehiclee2@localhost,astar,2,2.049,5,11.923,0,"[13, 13, 19, 13, 9]"
2025-11-19 22:35:11.913,,order_101000012,astar,1,1.534,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:11.920,,order_101000012,astar,1,1.012,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
